ind/benchmarks-dti/clam/goal72, 0:00.10, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal82, 2:00.00, 120.33, 0.99, Unknown
ind/benchmarks-dti/clam/goal41, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/clam/goal70, 0:17.21, 17.20, 0.07, Proved
ind/benchmarks-dti/clam/goal30, 2:00.00, 120.73, 0.82, Unknown
ind/benchmarks-dti/clam/goal27, 2:00.00, 120.73, 1.41, Unknown
ind/benchmarks-dti/clam/goal7, 0:00.30, 0.30, 0.00, Proved
ind/benchmarks-dti/clam/goal10, 2:00.00, 120.57, 1.44, Unknown
ind/benchmarks-dti/clam/goal11, 2:00.00, 121.10, 1.45, Unknown
ind/benchmarks-dti/clam/goal33, 2:00.00, 120.29, 0.98, Unknown
ind/benchmarks-dti/clam/goal16, 0:00.75, 0.71, 0.00, Proved
ind/benchmarks-dt/leon/amortize-queue-goal1, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dt/leon/bsearch-tree-goal10, 0:00.09, 0.01, 0.00, Unknown
ind/benchmarks-dt/leon/amortize-queue-goal2, 0:00.09, 0.00, 0.00, Unknown
